"measure_id","measure_name","location_id","ihme_loc_id","location_name","sex_id","sex","age_group_id","age_group_name","year_id","metric_id","metric_name","rei_id","rei_name","threshold","population","mean","upper","lower"
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",NA,"<5",2023,NA,NA,242,"Lead exposure in blood",50,120827666.97622837,0.1757389396128926,0.658,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",2023,NA,NA,242,"Lead exposure in blood",50,2209174151.1535435,0.35939860018524106,0.9872,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",NA,"Neonates",2023,NA,NA,242,"Lead exposure in blood",50,1585436.2863823175,0.18552970882132602,0.685,0
18,"Proportion",5,"R3","East Asia",3,"Both",2,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.13120806048004105,0.973,0
18,"Proportion",5,"R3","East Asia",3,"Both",3,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.14059659932582186,0.98,0
18,"Proportion",5,"R3","East Asia",3,"Both",6,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.1358993990466641,0.547,0
18,"Proportion",5,"R3","East Asia",3,"Both",7,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.18140256312544106,0.6948,0
18,"Proportion",5,"R3","East Asia",3,"Both",8,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.19653935855003613,0.7538,0
18,"Proportion",5,"R3","East Asia",3,"Both",9,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.23653822502484395,1,0
18,"Proportion",5,"R3","East Asia",3,"Both",10,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.23774752075318453,0.9982,0
18,"Proportion",5,"R3","East Asia",3,"Both",11,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.28800568492451195,0.899,0
18,"Proportion",5,"R3","East Asia",3,"Both",12,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.2900900523894832,0.9034,0
18,"Proportion",5,"R3","East Asia",3,"Both",13,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.32326533711553646,0.942,0
18,"Proportion",5,"R3","East Asia",3,"Both",14,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3416640631346723,0.9366,0
18,"Proportion",5,"R3","East Asia",3,"Both",15,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3965592671843049,0.9636,0
18,"Proportion",5,"R3","East Asia",3,"Both",16,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.43238724626438446,0.9829999999999999,0.0038
18,"Proportion",5,"R3","East Asia",3,"Both",17,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.42596961746704665,0.9884,0.003
18,"Proportion",5,"R3","East Asia",3,"Both",18,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.47532132051976234,0.9998,0.0066
18,"Proportion",5,"R3","East Asia",3,"Both",19,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.497798272841593,1,0.0098
18,"Proportion",5,"R3","East Asia",3,"Both",20,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5376952973313488,1,0.0164
18,"Proportion",5,"R3","East Asia",3,"Both",30,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5407262929586288,1,0.013600000000000001
18,"Proportion",5,"R3","East Asia",3,"Both",31,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5909484632269011,1,0.023
18,"Proportion",5,"R3","East Asia",3,"Both",32,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.6270901162983823,1,0.0518
18,"Proportion",5,"R3","East Asia",3,"Both",34,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.1373034412190317,0.577,0
18,"Proportion",5,"R3","East Asia",3,"Both",235,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.7601079000176606,1,0.1316
18,"Proportion",5,"R3","East Asia",3,"Both",238,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.12770106520703375,0.9530000000000001,0
18,"Proportion",5,"R3","East Asia",3,"Both",388,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.12944325893996372,0.956,0
18,"Proportion",5,"R3","East Asia",3,"Both",389,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.12968713787487823,0.956,0
18,"Proportion",5,"R3","East Asia",3,"Both",NA,"0 to 14",2023,NA,NA,242,"Lead exposure in blood",50,259604590.13157815,0.1516041554969156,0.6418,0
